Designator,Footprint,Quantity,Value,LCSC Part #
BOOT0,SW_SPST_SKQG_WithoutStem,1,BOOT0,
"C1, C10, C2",0402,3,1uF,C52923
"C3, C5, C6, C7, C8, C9",0402,6,100nF,C307331
C4,0402,1,4.7uF,C52923
"D1, D2, D3, D4, D5, D6, D7, D8",D_SOD-123,8,D_Small,
F1,1206,1,Fuse_Small,
"H1, H2",MountingHole_2.2mm_M2,2,MountingHole,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
NRST1,SW_SPST_SKQG_WithoutStem,1,RST,
"R3, R4",0402,2,5.1 K,
"R5, R6",0402,2,5.1k,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW_choc_v1_HS_1u_18_17,8,choc_SW_HS,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,
U2,SOT-23-6,1,USBLC6-2SC6,
U4,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
